Variable;Eptser;Eptser.1;Eptser.2;Hypsav;Hypsav.1;Hypsav.2;Minsch;Minsch.1;Minsch.2;Myodau;Myodau.1;Myodau.2;Myoema;Myoema.1;Myoema.2;Myobly/myo;Myobly/myo;Myobly/myo;Nyclei;Nyclei.1;Nyclei.2;Pipkuh/nat;Pipkuh/nat;Pipkuh/nat;Pippip;Pippip.1;Pippip.2;Pippyg;Pippyg.1;Pippyg.2;Plesp;Plesp.1;Plesp.2;SRE;SRE;SRE;MRE;MRE;MRE;LRE;LRE;LRE
Type;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p;B;SE;p
Intercept;0.64;0.48;;2.64;0.50;***;-0.17;0.56;;-0.76;0.41;.;0.00;0.28;;0.32;0.39;;2.24;0.22;***;5.50;0.19;***;4.67;0.29;***;3.03;0.44;***;0.26;0.23;;3.09;0.16;***;5.56;0.26;***;3.17;0.19;***
Dist.tree;;;;;;;-0.58;0.23;*;-0.92;0.29;**;;;;;;;-0.91;0.17;***;;;;-0.29;0.13;*;-0.80;0.20;***;0.42;0.16;*;;;;-0.31;0.12;**;;;
Tree.H;;;;;;;;;;;;;;;;1.21;0.33;***;;;;;;;;;;;;;;;;;;;;;;0.71;0.15;***
Traffic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.44;0.17;*;-0.36;0.14;**;;;;;;
DPT;;;;-0.20;0.62;;1.04;0.72;;;;;;;;;;;;;;;;;0.44;0.39;;0.62;0.59;;;;;;;;0.62;0.35;.;;;
F;;;;0.63;0.64;;3.34;0.71;***;;;;;;;;;;;;;;;;0.82;0.38;*;0.06;0.58;;;;;;;;1.35;0.34;***;;;
FE;;;;0.76;0.63;;3.34;0.72;***;;;;;;;;;;;;;;;;0.67;0.39;.;0.14;0.59;;;;;;;;1.01;0.35;**;;;
PT;;;;-1.42;0.67;*;3.26;0.72;***;;;;;;;;;;;;;;;;2.22;0.39;***;1.87;0.59;**;;;;;;;1.72;0.35;***;;;
SPT;;;;-1.35;0.67;*;2.15;0.75;**;;;;;;;;;;;;;;;;-0.16;0.40;;-0.11;0.61;;;;;;;;0.53;0.36;;;;
JJulien_scaled;-0.19;0.30;;-0.21;0.18;;0.42;0.15;**;1.17;0.32;***;-0.30;0.18;;-0.85;0.28;**;0.40;0.14;**;-0.09;0.13;;0.40;0.10;***;0.74;0.14;***;0.53;0.15;***;0.19;0.10;.;0.18;0.09;*;0.30;0.13;*
I(JJulien_scaled^2);-0.96;0.30;**;-0.99;0.19;***;0.36;0.14;**;-0.58;0.26;*;-0.44;0.19;*;-0.75;0.23;**;0.28;0.14;*;-0.50;0.12;***;-0.58;0.09;***;0.07;0.13;;0.41;0.14;**;-0.29;0.10;**;-0.30;0.08;***;-0.05;0.12;
